input,output
What is an epoch?,An epoch is one full pass of the training loop over every example in your dataset.
What is the learning rate?,The learning rate controls how large a step the optimizer takes at each update. The default is 0.0003.
What is overfitting?,Overfitting is when the model memorizes the training data and stops improving on data it has not seen.
What does temperature do?,"Temperature scales the logits before sampling. Lower values are more focused, higher values are more random."
What does top p do?,Top p sampling keeps only the most likely tokens whose probabilities add up to p.
What does top k do?,Top k sampling keeps only the k most likely tokens at each step.
What is a KV cache?,A key value cache stores past attention keys and values so generation does not recompute the whole sequence each step.
What is RoPE?,"Rotary position embedding encodes positions by rotating the query and key vectors, which gives the model relative position information."
What is RMSNorm?,RMSNorm normalizes a vector by its root mean square. It is cheaper than layer normalization and works well in low precision.
What is SwiGLU?,SwiGLU is a gated feed forward layer that multiplies a SiLU activated projection with a second linear projection.
What is cross entropy loss?,Cross entropy measures how surprised the model is by the correct next token. Lower is better.
What is perplexity?,Perplexity is the exponential of the loss. It is roughly how many options the model is choosing between.
What is gradient accumulation?,Gradient accumulation sums gradients over several small batches so you get the effect of a large batch in little memory.
What is a validation split?,A validation split is a slice of the data held out from training so you can measure how well the model generalizes.
How large should my dataset be?,A few hundred rows is enough to see the model answer. A few thousand rows gives much better results.
Can I train on my own data?,Yes. That is the point. Provide a CSV with your own questions and answers.
What is the capital of France?,The capital of France is Paris.
What is the capital of Japan?,The capital of Japan is Tokyo.
What is the capital of Italy?,The capital of Italy is Rome.
What is the capital of Spain?,The capital of Spain is Madrid.
What is the capital of Germany?,The capital of Germany is Berlin.
What is the capital of Canada?,The capital of Canada is Ottawa.
What is the capital of Australia?,The capital of Australia is Canberra.
What is the capital of Brazil?,The capital of Brazil is Brasilia.
What is the capital of Egypt?,The capital of Egypt is Cairo.
What is the capital of Norway?,The capital of Norway is Oslo.
What is the largest planet?,Jupiter is the largest planet in the solar system.
What is the smallest planet?,Mercury is the smallest planet in the solar system.
How many planets are in the solar system?,There are eight planets in the solar system.
What is the boiling point of water?,Water boils at one hundred degrees Celsius at sea level.
What is the freezing point of water?,Water freezes at zero degrees Celsius at sea level.
What is the chemical symbol for water?,The chemical symbol for water is H2O.
What is the chemical symbol for gold?,The chemical symbol for gold is Au.
What is the speed of light?,Light travels at about three hundred thousand kilometers per second in a vacuum.
How many days are in a year?,A normal year has three hundred and sixty five days.
How many hours are in a day?,There are twenty four hours in a day.
How many minutes are in an hour?,There are sixty minutes in an hour.
How many continents are there?,There are seven continents.
What is the tallest mountain?,Mount Everest is the tallest mountain above sea level.
What is the longest river?,The Nile is usually described as the longest river in the world.
What is the largest ocean?,The Pacific Ocean is the largest ocean.
Who wrote Romeo and Juliet?,Romeo and Juliet was written by William Shakespeare.
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.
What is Python?,Python is a high level programming language known for being readable and easy to learn.
What is PyTorch?,PyTorch is an open source machine learning library used to build and train neural networks.
What is machine learning?,Machine learning is the practice of building programs that learn patterns from data instead of being told every rule.
What is a neural network?,A neural network is a model made of layers of simple units whose weights are learned from data.
What is an API?,An API is a defined interface that lets one program request services from another program.
What is JSON?,"JSON is a lightweight text format for representing structured data as objects, arrays, numbers, and strings."
What is a CSV file?,"A CSV file stores tabular data as plain text, with one record per line and fields separated by commas."
What is 2 + 2?,2 + 2 is 4.
What is 5 + 7?,5 + 7 is 12.
What is 10 times 10?,10 times 10 is 100.
What is 100 divided by 4?,100 divided by 4 is 25.
What color is the sky?,On a clear day the sky looks blue.
How many legs does a spider have?,A spider has eight legs.
